Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Votes
Support Request,JRACLOUD-35560,743176,our JIRA site is down,,tpietro,Highest,Closed,Support Request,29/Oct/2013 8:12 PM,15/Aug/2019 5:36 AM,0
Support Request,JRACLOUD-36965,741052,Dashboard Not Showing On Some Computers ,,arash.aghamirzayi,Highest,Closed,Support Request,12/Feb/2014 6:10 AM,15/Aug/2019 5:36 AM,0
Support Request,JRACLOUD-47616,739360,Commenting hangs,,thagen,Highest,Closed,Support Request,02/Dec/2015 10:18 PM,15/Aug/2019 5:35 AM,1
Support Request,JRACLOUD-38099,771620,cannot see issues on IE8 ,,alessio.fimognari,Highest,Closed,Support Request,30/Apr/2014 12:00 PM,15/Aug/2019 5:35 AM,0
Support Request,JRACLOUD-36846,758448,Cannot create a new issue,,sushma1,Highest,Closed,Support Request,04/Feb/2014 6:32 PM,15/Aug/2019 5:35 AM,1
Support Request,JRACLOUD-32550,735046,Can't remove post function from Create Transition,,bdaniels1,Highest,Closed,Handled by Support,11/Apr/2013 5:46 PM,15/Aug/2019 5:35 AM,0
Support Request,JRACLOUD-37256,768513,Reindexing fails: Cannot invoke method getValidators() on null object,,mi+atlassian-2013,Highest,Closed,Support Request,28/Feb/2014 4:20 AM,15/Aug/2019 5:34 AM,0
Support Request,JRACLOUD-59120,771018,Token is getting rejected upon logging in to UI,,aidin.mahmoodi,Highest,Closed,Support Request,23/Dec/2015 8:46 AM,15/Aug/2019 5:34 AM,0
Support Request,JRACLOUD-37506,768300,Assign Ticket to component lead with post function,,athanasios.bladis,Highest,Closed,Support Request,17/Mar/2014 8:58 AM,15/Aug/2019 5:34 AM,0
Support Request,JRACLOUD-37723,728702,"Email is not working, we need help urgently",,michelle2,Highest,Closed,Support Request,31/Mar/2014 11:24 AM,15/Aug/2019 5:34 AM,3
Support Request,JRACLOUD-36431,726272,Double billing the customer using Jira Projects,,andy28,Highest,Closed,Support Request,09/Jan/2014 2:32 PM,15/Aug/2019 5:34 AM,0
Support Request,JRACLOUD-37724,770823,Last E-mail notification from JIRA at 03:00 (AM) MSK Time,,admin111,Highest,Closed,Support Request,31/Mar/2014 11:30 AM,15/Aug/2019 5:34 AM,3
Support Request,JRACLOUD-36831,767663,Cannot create a new issue,,sushma1,Highest,Closed,Support Request,03/Feb/2014 5:14 PM,15/Aug/2019 5:33 AM,0
Support Request,JRACLOUD-36988,727181,"Unable to attach files, screenshots, and mockups to new or existing issues",,ndodds,Highest,Closed,Support Request,05/Feb/2014 4:34 PM,15/Aug/2019 5:33 AM,0
Support Request,JRACLOUD-34083,726677,Not able to see any Jira Issue details and hence not modify them also,,deepak.singhal,Highest,Closed,Support Request,29/Jul/2013 2:38 PM,15/Aug/2019 5:33 AM,1
Support Request,JRACLOUD-32580,729652,"The following plugins are required by JIRA, but have not been started:",,tmofardin,Highest,Closed,Handled by Support,14/Apr/2013 6:17 PM,15/Aug/2019 5:33 AM,0
Support Request,JRACLOUD-36396,725529,Problems to create a ticket,,fs3,Highest,Closed,Support Request,07/Jan/2014 1:21 PM,15/Aug/2019 5:33 AM,0
Support Request,JRACLOUD-29833,725422,Issue Type,,nkumar1095,Highest,Closed,Handled by Support,22/Sep/2012 12:37 PM,15/Aug/2019 5:33 AM,0
Support Request,JRACLOUD-30106,727346,"Cannot create issues since the latest update, Google Chrome",,adamconder,Highest,Closed,Handled by Support,15/Oct/2012 10:06 AM,15/Aug/2019 5:33 AM,0
Support Request,JRACLOUD-36945,727313,JIRA shows under maintenance message when I open the Project administration page,,nikhil.bhasin,Highest,Closed,Support Request,11/Feb/2014 12:21 PM,15/Aug/2019 5:33 AM,0
Support Request,JRACLOUD-32821,727282,Deleted screen and now unable to access Administration -> Workflows. ,,pooja.nair,Highest,Closed,Handled by Support,29/Apr/2013 7:09 AM,15/Aug/2019 5:33 AM,0
Support Request,JRACLOUD-28881,767174,crashing during Reindexing,,lalgudiexpress,Highest,Closed,Handled by Support,10/Jul/2012 1:28 PM,15/Aug/2019 5:32 AM,0
Support Request,JRACLOUD-28194,735456,Not able to add large number of users to 'Project Users' project role,,dnjk83,Highest,Closed,Done,09/May/2012 9:22 AM,19/Sep/2018 4:57 AM,0
Support Request,JRACLOUD-27106,728042,Error in JIRA setup,,rumceisz,Highest,Closed,Handled by Support,13/Feb/2012 7:47 PM,19/Sep/2018 4:52 AM,0
Support Request,JRACLOUD-26209,744749,Upgrading to v4.4.3 is causing all ,bdziedzic,jfota,Highest,Closed,Handled by Support,09/Nov/2011 8:06 PM,14/Sep/2018 5:08 AM,0
Support Request,JRACLOUD-31525,735415,MS Active Directory LDAP users cannot login to Jira 5.2.5 if the DB is connected to an external Oracle 11g database,,gliang,Highest,Closed,Done,31/Jan/2013 6:54 PM,11/Sep/2018 5:57 AM,0
Support Request,JRACLOUD-31348,767701,"The following plugins are required by JIRA, but have not been started",yen@atlassian.com,pgoudman@gmail.com,Highest,Closed,Not a bug,17/Jan/2013 4:07 PM,10/Sep/2018 6:06 AM,0
Support Request,JRACLOUD-61561,732571,Does not have access to jira,,m.aminiomam15467726,Highest,Closed,Support Request,19/Jun/2016 5:58 AM,02/Apr/2017 11:23 AM,0
Support Request,JRACLOUD-35558,743171,"Sorry, an error occurred trying to log you in - please try again.",,valeriy.garnitskiy,Highest,Closed,Support Request,29/Oct/2013 7:55 PM,02/Apr/2017 10:30 AM,0
Support Request,JRACLOUD-35273,737925,Connection between Spring suite and JIRA,,ellor.henriett,Highest,Closed,Support Request,11/Oct/2013 5:41 PM,02/Apr/2017 10:29 AM,0
Support Request,JRACLOUD-35073,770642,ERROR while migrating ondemand,,wolfgang.seidler,Highest,Closed,Fixed,29/Sep/2013 1:13 PM,02/Apr/2017 10:28 AM,0
Support Request,JRACLOUD-31420,742990,Not showing search results with filter < 1970 in a custom data field ,,pedro.garcia.juan,Highest,Closed,Handled by Support,24/Jan/2013 7:32 AM,02/Apr/2017 10:14 AM,0
Support Request,JRACLOUD-27566,730232,Jira crash with OutOfMemoryError,,tiago.matias@gmail.com,Highest,Closed,Fixed,19/Mar/2012 11:59 AM,02/Apr/2017 10:01 AM,0
Support Request,JRACLOUD-26905,735060,How to change the Project Key value,bdziedzic,santosh,Highest,Closed,Handled by Support,25/Jan/2012 9:49 AM,02/Apr/2017 9:59 AM,0
Support Request,JRACLOUD-26593,745714,Cannot create Application Links to Crucible (defaults to Anonymous),bdziedzic,febbraro,Highest,Closed,Handled by Support,16/Dec/2011 9:38 PM,02/Apr/2017 9:58 AM,2
Support Request,JRACLOUD-26391,725712,Support for ≤ character,bdziedzic,raheel.siddiqui,Highest,Closed,Handled by Support,28/Nov/2011 9:46 AM,02/Apr/2017 9:57 AM,0
Support Request,JRACLOUD-14370,767578,I cannot retrieve issues in XML format by using a filter,,marianobntz,High,Closed,Handled by Support,30/Jan/2008 9:30 PM,15/Aug/2019 5:40 AM,0
Support Request,JRACLOUD-36351,735061,"when shared filter to other user,other user can copy this filter & filter navigator columns setting",,y_shliao,High,Closed,Support Request,03/Jan/2014 8:11 AM,15/Aug/2019 5:40 AM,0
Support Request,JRACLOUD-37692,771558,Error Exception on Editing Issue,,alessandro.gorna,High,Closed,Support Request,27/Mar/2014 4:31 PM,15/Aug/2019 5:39 AM,0
Support Request,JRACLOUD-38039,768547,JIRA IndexReader is leaking file descriptors,,matt.doar,High,Closed,Support Request,25/Apr/2014 5:19 PM,15/Aug/2019 5:38 AM,1
Support Request,JRACLOUD-34340,767050,AD account always locked out in configuration of email notification,,wwyhy520,High,Closed,Support Request,16/Aug/2013 2:02 AM,15/Aug/2019 5:38 AM,0
Support Request,JRACLOUD-38086,770770,Error when attempting to send test email to external address,,tony.ramos,High,Closed,Support Request,29/Apr/2014 8:13 PM,15/Aug/2019 5:38 AM,0
Support Request,JRACLOUD-36264,770613,Add gadget subscriptions from another JIRA instance does not work ,,skhamassi,High,Closed,Support Request,19/Dec/2013 7:18 AM,15/Aug/2019 5:38 AM,0
Support Request,JRACLOUD-42451,755890,How to Switch AD that has different user names,,jmedalen,High,Closed,Support Request,13/Mar/2015 4:18 PM,15/Aug/2019 5:38 AM,0
Support Request,JRACLOUD-28955,755700,JIRA cannot sync AD users completely,,andy20008,High,Closed,Handled by Support,16/Jul/2012 7:40 AM,15/Aug/2019 5:38 AM,0
Support Request,JRACLOUD-33320,754926," An error occurred whilst rendering this message. Please contact the administrators, and inform them of this bug. Details: ------- ",,shendepu1,High,Closed,Handled by Support,30/May/2013 7:33 AM,15/Aug/2019 5:38 AM,0
Support Request,JRACLOUD-37696,745057,bitbucket import,,jean-simon.roy,High,Closed,Support Request,27/Mar/2014 8:10 PM,15/Aug/2019 5:36 AM,0
Support Request,JRACLOUD-28370,745029,Image in Mail Handler Crashing JIRA,,harry.chan,High,Closed,Handled by Support,24/May/2012 1:55 AM,15/Aug/2019 5:36 AM,0
Support Request,JRACLOUD-39248,743937,Cannot display and update timespent originalestimate with SOAP API remoteissue,,muhammad.f.ali,High,Closed,Answered,23/Jul/2014 3:26 PM,15/Aug/2019 5:36 AM,0
Support Request,JRACLOUD-27540,743169,Error when manually backing up data as xml,,michel0p,High,Closed,Fixed,16/Mar/2012 8:07 AM,15/Aug/2019 5:36 AM,0
Support Request,JRACLOUD-35464,743073,Sprints gone after upgrading to Jira 6.1.1,,brett.murphy,High,Closed,Support Request,23/Oct/2013 1:46 AM,15/Aug/2019 5:36 AM,0
Support Request,JRACLOUD-31086,741026,activity stream bug on multi virtual hosts,,jamesbai,High,Closed,Handled by Support,26/Dec/2012 6:45 AM,15/Aug/2019 5:36 AM,0
Support Request,JRACLOUD-59115,771895,Jira  application is not coming up ,,mohammed.alhomran,High,Closed,Support Request,23/Dec/2015 4:24 AM,15/Aug/2019 5:35 AM,0
Support Request,JRACLOUD-37042,735097,404 error when trying to Get started JIRA Service Desk,,profer,High,Closed,Support Request,17/Feb/2014 1:01 PM,15/Aug/2019 5:35 AM,0
Support Request,JRACLOUD-36360,735077,"When installing Jira, after Set Up Administrator Account i get error",,aris3,High,Closed,Support Request,03/Jan/2014 6:28 PM,15/Aug/2019 5:35 AM,0
Support Request,JRACLOUD-36826,734566,Resolution set to Fixed when editing issue,,michael.mumcuoglu,High,Closed,Support Request,03/Feb/2014 1:43 PM,15/Aug/2019 5:35 AM,0
Support Request,JRACLOUD-37302,731282,Defective evaluation license.,,forpdfsending,High,Closed,Answered,03/Mar/2014 2:00 PM,15/Aug/2019 5:34 AM,0
Support Request,JRACLOUD-38208,771184,"Site crashed, after server reboot JS/CSS issues",,a.moquia,High,Closed,Support Request,07/May/2014 9:17 PM,15/Aug/2019 5:34 AM,0
Support Request,JRACLOUD-45226,768469,operators <= (Less than or equal to) and > (greater than) are not working properly with dates,,jkind,High,Closed,Support Request,04/Sep/2015 3:54 PM,15/Aug/2019 5:34 AM,0
Support Request,JRACLOUD-36651,768536,Screenshot applet doesn't work after I use CAS SSO,,497225143,High,Closed,Support Request,22/Jan/2014 12:14 AM,15/Aug/2019 5:34 AM,0
Support Request,JRACLOUD-34122,730478,Error - Communications Breakdown -The Jira server could not be contacted...,,mxk,High,Closed,Support Request,31/Jul/2013 2:50 PM,15/Aug/2019 5:34 AM,0
Support Request,JRACLOUD-37091,726240,jira not displaying page-content properly on mozilla-27.,,vyas.madhusudan,High,Closed,Support Request,19/Feb/2014 1:53 PM,15/Aug/2019 5:34 AM,0
Support Request,JRACLOUD-36845,767870,Getting null pointer exception randomly,,dan.obrien,High,Closed,Support Request,04/Feb/2014 6:02 PM,15/Aug/2019 5:33 AM,0
Support Request,JRACLOUD-37402,726867,JIRA was down suddenly. And started working we have not done any correction.,,sudharsang,High,Closed,Support Request,08/Mar/2014 5:47 AM,15/Aug/2019 5:33 AM,0
Support Request,JRACLOUD-37391,726803,After Upgrade to 6.2 we can't browse to our projects,,a.scharlau,High,Closed,Support Request,07/Mar/2014 8:15 AM,15/Aug/2019 5:33 AM,0
Support Request,JRACLOUD-36723,726374,Certain languages change and cannot be viewed correctly,,shyjup,High,Closed,Support Request,27/Jan/2014 8:39 AM,15/Aug/2019 5:33 AM,0
Support Request,JRACLOUD-37220,725931,Notification emails are not sent to any one (as defined in the notification scheme),,pragadeeswaran.p,High,Closed,Support Request,27/Feb/2014 7:27 AM,15/Aug/2019 5:33 AM,0
Support Request,JRACLOUD-37215,725919,"Upgrade to 6.2 ""Deletes"" Issues",,jwynacht1,High,Closed,Support Request,27/Feb/2014 3:39 AM,15/Aug/2019 5:33 AM,0
Support Request,JRACLOUD-37129,725655,"Why did you ""disable"" our email collectors?",,maury.hill,High,Closed,Support Request,20/Feb/2014 7:16 PM,15/Aug/2019 5:33 AM,0
Support Request,JRACLOUD-35117,770659,JIRA has been installed to run as jira so please sudo run this to enable switching to that user,,yan1,High,Closed,Support Request,01/Oct/2013 6:52 PM,15/Aug/2019 5:33 AM,0
Support Request,JRACLOUD-59066,725287,This version of JIRA is unrecognized by the Atlassian Marketplace. It might be a non-standard build or be too new to appear.,,reinbold69980948,High,Closed,Support Request,18/Dec/2015 12:05 PM,15/Aug/2019 5:33 AM,2
Support Request,JRACLOUD-36649,770553,Jira ubuntu 13.10 Critical File Permission  Bug,,kb.damian,High,Closed,Support Request,21/Jan/2014 8:34 PM,15/Aug/2019 5:33 AM,0
Support Request,JRACLOUD-59680,767638,JIRA Licence Issue,,iman.attia82423486,High,Closed,Obsolete,04/Feb/2016 3:27 PM,11/Aug/2019 5:03 PM,0
Support Request,JRACLOUD-26170,746369,User Picker stops working after restart (with MS-AD User Directory),mchin,hermann,High,Closed,Handled by Support,07/Nov/2011 12:47 PM,19/Sep/2018 4:57 AM,0
Support Request,JRACLOUD-29519,726068,Stopwatching throws the error,,dthakkar,High,Closed,Handled by Support,28/Aug/2012 9:39 AM,19/Sep/2018 4:57 AM,0
Support Request,JRACLOUD-26685,746851,NullPointerException during upgrade process,,minfrin,High,Closed,Handled by Support,31/Dec/2011 2:27 AM,19/Sep/2018 4:52 AM,0
Support Request,JRACLOUD-12063,726679,"""Add New Workflow"" rises   ORA-01461 Exception",,eaglewang_zy,High,Closed,Done,02/Feb/2007 5:40 AM,14/Sep/2018 5:25 AM,0
Support Request,JRACLOUD-25699,729108,Bugzilla import fails,,rburgess,High,Closed,Handled by Support,14/Sep/2011 11:31 AM,14/Sep/2018 5:11 AM,0
Support Request,JRACLOUD-10940,767899,Add New Permission screen. Group Selector and User Custom Field does not work,,igory,High,Closed,Done,23/Aug/2006 1:10 PM,14/Sep/2018 5:00 AM,0
Support Request,JRACLOUD-36980,728727,Not being able to create a project being a jira administrator,jraupp,adm_ti,High,Closed,Handled by Support,12/Feb/2014 8:59 PM,02/Apr/2017 10:35 AM,0
Support Request,JRACLOUD-35298,767867,Missing project role recently added,,enid.gjoleka,High,Closed,Tracked Elsewhere,14/Oct/2013 12:47 PM,02/Apr/2017 10:29 AM,0
Support Request,JRACLOUD-32502,744441,userWorkstation attribute of Active Directory users not recognized on JIRA,,mcampelo,High,Closed,Handled by Support,09/Apr/2013 1:47 PM,02/Apr/2017 10:19 AM,0
Support Request,JRACLOUD-31532,736806,Intend to Participate in the Plugins 3 Beta ,,achang2,High,Closed,Handled by Support,01/Feb/2013 3:12 AM,02/Apr/2017 10:15 AM,0
Support Request,JRACLOUD-31359,746906,Connection reset error coming randomly from UpdateIssue,,aparna.singhal@opshub.com,High,Closed,Handled by Support,18/Jan/2013 9:06 AM,02/Apr/2017 10:14 AM,0
Support Request,JRACLOUD-30960,732347,Wrong workflowstatus after a programmatically triggered workflow-transition ,,cmk,High,Closed,Handled by Support,13/Dec/2012 11:42 AM,02/Apr/2017 10:13 AM,0
Support Request,JRACLOUD-30710,767685,JIRA Startup Fails Due to 'java.lang.SecurityException Unable to locate a login configuration' ,,yochaibe,High,Closed,Handled by Support,26/Nov/2012 12:31 PM,02/Apr/2017 10:12 AM,0
Support Request,JRACLOUD-29808,738121,The Gadget Directory failed to load,,clarako,High,Closed,Handled by Support,20/Sep/2012 7:10 AM,02/Apr/2017 10:09 AM,0
Support Request,JRACLOUD-28168,728674,Running Groovy email template caused Script Listener to stop running,,bryank,High,Closed,Handled by Support,08/May/2012 4:21 AM,02/Apr/2017 10:03 AM,0
Support Request,JRACLOUD-27747,737410,"After a while JVM starts to think that there is a file missing in the file system, but it's there. java.io.FileNotFoundException: /includes/panels/issue/linking/inward.jsp",,erko,High,Closed,Handled by Support,02/Apr/2012 7:27 AM,02/Apr/2017 10:02 AM,0
Support Request,JRACLOUD-26564,746043,Unable to reindex,mchin,mverrall@expedia.com,High,Closed,Handled by Support,15/Dec/2011 11:22 AM,02/Apr/2017 9:58 AM,0
Support Request,JRACLOUD-26392,729487,Confluence4 .0.5 failed to connect to a JIRA 4.4.3 server as user management directory,mchin,liyingquan@gmail.com,High,Closed,Handled by Support,28/Nov/2011 1:45 PM,02/Apr/2017 9:57 AM,0
Support Request,JRACLOUD-26260,745614,"System Error after try to open ""Notifications"" button in Administration project panel.",mchin,anatoly,High,Closed,Handled by Support,15/Nov/2011 11:37 AM,02/Apr/2017 9:57 AM,0
Support Request,JRACLOUD-25958,768179,Using block {html}{hml} to comment in a issue and now no new comments appears,,awilter,High,Closed,Handled by Support,13/Oct/2011 8:14 AM,02/Apr/2017 9:56 AM,0
Support Request,JRACLOUD-25920,730187,Issues not getting reindexed properly,bdziedzic,madhavig,High,Closed,Handled by Support,11/Oct/2011 5:58 AM,02/Apr/2017 9:56 AM,0
Support Request,JRACLOUD-22313,728960,"SSL related issue, with JIRA Gadgets",,rnayak2010,High,Closed,Handled by Support,20/Sep/2010 2:07 PM,02/Apr/2017 9:50 AM,0
Support Request,JRACLOUD-22303,768174,updated external java script doesn't get updated after JIRA 4.x,,khyun,High,Closed,Handled by Support,17/Sep/2010 2:56 PM,02/Apr/2017 9:50 AM,0
Support Request,JRACLOUD-36370,737696,"REST error ""The value 'XXX' does not exist for the field 'project'.""] while performing search with SQL",,ssbarnea,Medium,Closed,Support Request,06/Jan/2014 1:11 PM,09/Jun/2020 11:36 AM,0
Support Request,JRACLOUD-33212,755240,CSV import tool mapping ignores my customfield,,loustik,Medium,Closed,Support Request,23/May/2013 4:55 PM,15/Aug/2019 5:42 AM,0
Support Request,JRACLOUD-4904,762652,Jira Response Slow,,bharathns,Medium,Closed,Resolved Locally,11/Oct/2004 7:15 PM,15/Aug/2019 5:41 AM,0
Support Request,JRACLOUD-5137,727379,Re-Indexing failed,,mheft,Medium,Closed,Resolved Locally,02/Nov/2004 4:24 PM,15/Aug/2019 5:41 AM,0
Support Request,JRACLOUD-34584,771778,Pivotal Tracker import fails with NoClassDefFoundError,,tim7,Medium,Closed,Handled by Support,30/Aug/2013 5:09 PM,15/Aug/2019 5:41 AM,0
Support Request,JRACLOUD-30130,732586,Quick Search not working on Jira on demand instance,,dashdaring,Medium,Closed,Handled by Support,16/Oct/2012 6:27 PM,15/Aug/2019 5:40 AM,1
Support Request,JRACLOUD-12565,767828,Example CloseParentIssueFunction,nick.menere,cde,Medium,Closed,Fixed,16/Apr/2007 8:49 AM,15/Aug/2019 5:40 AM,0
Support Request,JRACLOUD-8948,749747,"Replace ""Specify User"" select box with username search field",,keithkml,Medium,Closed,Handled by Support,05/Jan/2006 11:23 PM,15/Aug/2019 5:40 AM,0
Support Request,JRACLOUD-8272,740857,Issue Navigator columns dont appear for issue-type-specific custom fields,,nickminutello,Medium,Closed,Handled by Support,19/Oct/2005 2:58 PM,15/Aug/2019 5:39 AM,1
Support Request,JRACLOUD-36016,771707,Problem  with Russian users,,overseerhsof,Medium,Closed,Support Request,29/Nov/2013 5:24 AM,15/Aug/2019 5:39 AM,0
Support Request,JRACLOUD-35926,771703,Global transition button displayed in the wrong order,,jean-guillaume.meillaud,Medium,Closed,Support Request,22/Nov/2013 3:18 PM,15/Aug/2019 5:39 AM,0
Support Request,JRACLOUD-37335,771695,Created <= date is not coming back with the issues created on that date,,sprasad,Medium,Closed,Support Request,04/Mar/2014 7:28 PM,15/Aug/2019 5:39 AM,0
Support Request,JRACLOUD-38233,771615,Comments Left on Issues that Never Make it to JIRA,,ccabello,Medium,Closed,Answered,08/May/2014 4:34 PM,15/Aug/2019 5:39 AM,0
Support Request,JRACLOUD-38215,771550,Error java.lang.NoClassDefFoundError: Could not initialize class com.sun.xml.internal.ws.api.streaming.XMLStreamReaderFactory,,manjunath.kanakagiri1,Medium,Closed,Answered,08/May/2014 3:40 AM,15/Aug/2019 5:39 AM,0
Support Request,JRACLOUD-36401,770599,Dashboard gadgets fail to render after upgrading from 5.2.5 to 6.2 (m03),,matt.hass,Medium,Closed,Support Request,07/Jan/2014 4:05 PM,15/Aug/2019 5:38 AM,0
Support Request,JRACLOUD-38314,768532,Cannot access ondemand instance.,,lalit1,Medium,Closed,Support Request,14/May/2014 6:02 AM,15/Aug/2019 5:38 AM,0
Support Request,JRACLOUD-37841,768358,When pressing ESC key when creating a new issue the issue dialog is closed without any notifications,,ron13,Medium,Closed,Support Request,08/Apr/2014 3:24 PM,15/Aug/2019 5:38 AM,0
Support Request,JRACLOUD-32578,768213,popup of sub-tasks on classic taskboard (in not logged in state) do not have any option to close,,petepar2,Medium,Closed,Handled by Support,14/Apr/2013 11:41 AM,15/Aug/2019 5:38 AM,0
Support Request,JRACLOUD-34368,767912,text search with negation,,lena.fedoseeva,Medium,Closed,Fixed,19/Aug/2013 12:24 PM,15/Aug/2019 5:38 AM,1
Support Request,JRACLOUD-36465,762684,When upgrading jira from 3.13.5 to 4.4.5 error occurred when parsing your installation dir,,tony.stone1,Medium,Closed,Support Request,10/Jan/2014 9:25 PM,15/Aug/2019 5:38 AM,0
